label,unit,attr,imgType
1_1,0,input,jpg
1_2,7,input,jpg
1_3,110,input,jpg
2_1,40,input,jpg
2_2,39,input,jpg
2_3,9,input,jpg
3_1,4,input,jpg
3_2,81,input,jpg
3_3,116,input,jpg
4_1,85,input,jpg
4_2,99,input,jpg
4_3,119,input,jpg
5_1,113,input,jpg
5_2,68,input,jpg
5_3,44,input,jpg
R_1,109,hue_R,none
RY_1,8,hue_RY,none
Y_1,8,hue_Y,none
GY_1,18,hue_GY,none
GY_2,90,hue_GY,none
G_1,81,hue_G,none
BG_1,4,hue_BG,none
B_1,18,hue_B,none
gr_1,29,tone_gr,none
ltg_1,19,tone_ltg,none
ltg_2,29,tone_ltg,none
d_1,18,tone_d,none
sf_1,49,tone_sf,none
sf_2,29,tone_sf,none
s_1,77,tone_s,none
s_2,94,tone_s,none
v_1,105,tone_v,none
